example input data to run RothC for a number of years,,,,,,,,,
"clay and depth are only needed once, other data are monthly jan-dec ",,,,,,,,,
 (%),(cm),(t C/ha),(-),,,,,,
clay,depth,iom,nsteps,,,,,,
18,30,2.524,0,,,,,,
(-),(-),(%),(C) ,(mm),(mm),(t C/ha),(t C/ha),(-),(-)
year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
2052,6,100,27.6,141.8,192,0,0,1,1.44
2052,7,100,26.6,139.7,176,0,0,1,1.44
2052,8,100,26,241,164,0,0,1,1.44
2052,9,100,26.4,198.1,162.67,0,0,1,1.44
2052,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2052,11,100,28.8,5.2,192,0,0,0,1.44
2052,12,100,27.8,0.3,192,0,0,0,1.44
2053,1,100,27.7,5,193.33,0,0,0,1.44
2053,2,100,30.3,10.9,200,0,0,0,1.44
2053,3,100,31.8,20.9,230.67,0,0,0,1.44
2053,4,100,30.9,86.4,225.33,0,0,0,1.44
2053,5,100,29.3,130.1,220,0,0,1,1.44
2053,6,100,27.6,141.8,192,0,0,1,1.44
2053,7,100,26.6,139.7,176,0,0,1,1.44
2053,8,100,26,241,164,0,0,1,1.44
2053,9,100,26.4,198.1,162.67,0,0,1,1.44
2053,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2053,11,100,28.8,5.2,192,0,0,0,1.44
2053,12,100,27.8,0.3,192,0,0,0,1.44
2054,1,100,27.7,5,193.33,0,0,0,1.44
2054,2,100,30.3,10.9,200,0,0,0,1.44
2054,3,100,31.8,20.9,230.67,0,0,0,1.44
2054,4,100,30.9,86.4,225.33,0,0,0,1.44
2054,5,100,29.3,130.1,220,0,0,1,1.44
2054,6,100,27.6,141.8,192,0,0,1,1.44
2054,7,100,26.6,139.7,176,0,0,1,1.44
2054,8,100,26,241,164,0,0,1,1.44
2054,9,100,26.4,198.1,162.67,0,0,1,1.44
2054,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2054,11,100,28.8,5.2,192,0,0,0,1.44
2054,12,100,27.8,0.3,192,0,0,0,1.44
2055,1,100,27.7,5,193.33,0,0,0,1.44
2055,2,100,30.3,10.9,200,0,0,0,1.44
2055,3,100,31.8,20.9,230.67,0,0,0,1.44
2055,4,100,30.9,86.4,225.33,0,0,0,1.44
2055,5,100,29.3,130.1,220,0,0,1,1.44
2055,6,100,27.6,141.8,192,0,0,1,1.44
2055,7,100,26.6,139.7,176,0,0,1,1.44
2055,8,100,26,241,164,0,0,1,1.44
2055,9,100,26.4,198.1,162.67,0,0,1,1.44
2055,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2055,11,100,28.8,5.2,192,0,0,0,1.44
2055,12,100,27.8,0.3,192,0,0,0,1.44
2056,1,100,27.7,5,193.33,0,0,0,1.44
2056,2,100,30.3,10.9,200,0,0,0,1.44
2056,3,100,31.8,20.9,230.67,0,0,0,1.44
2056,4,100,30.9,86.4,225.33,0,0,0,1.44
2056,5,100,29.3,130.1,220,0,0,1,1.44
2056,6,100,27.6,141.8,192,0,0,1,1.44
2056,7,100,26.6,139.7,176,0,0,1,1.44
2056,8,100,26,241,164,0,0,1,1.44
2056,9,100,26.4,198.1,162.67,0,0,1,1.44
2056,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2056,11,100,28.8,5.2,192,0,0,0,1.44
2056,12,100,27.8,0.3,192,0,0,0,1.44
2057,1,100,27.7,5,193.33,0,0,0,1.44
2057,2,100,30.3,10.9,200,0,0,0,1.44
2057,3,100,31.8,20.9,230.67,0,0,0,1.44
2057,4,100,30.9,86.4,225.33,0,0,0,1.44
2057,5,100,29.3,130.1,220,0,0,1,1.44
2057,6,100,27.6,141.8,192,0,0,1,1.44
2057,7,100,26.6,139.7,176,0,0,1,1.44
2057,8,100,26,241,164,0,0,1,1.44
2057,9,100,26.4,198.1,162.67,0,0,1,1.44
2057,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2057,11,100,28.8,5.2,192,0,0,0,1.44
2057,12,100,27.8,0.3,192,0,0,0,1.44
2058,1,100,27.7,5,193.33,0,0,0,1.44
2058,2,100,30.3,10.9,200,0,0,0,1.44
2058,3,100,31.8,20.9,230.67,0,0,0,1.44
2058,4,100,30.9,86.4,225.33,0,0,0,1.44
2058,5,100,29.3,130.1,220,0,0,1,1.44
2058,6,100,27.6,141.8,192,0,0,1,1.44
2058,7,100,26.6,139.7,176,0,0,1,1.44
2058,8,100,26,241,164,0,0,1,1.44
2058,9,100,26.4,198.1,162.67,0,0,1,1.44
2058,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2058,11,100,28.8,5.2,192,0,0,0,1.44
2058,12,100,27.8,0.3,192,0,0,0,1.44
2059,1,100,27.7,5,193.33,0,0,0,1.44
2059,2,100,30.3,10.9,200,0,0,0,1.44
2059,3,100,31.8,20.9,230.67,0,0,0,1.44
2059,4,100,30.9,86.4,225.33,0,0,0,1.44
2059,5,100,29.3,130.1,220,0,0,1,1.44
2059,6,100,27.6,141.8,192,0,0,1,1.44
2059,7,100,26.6,139.7,176,0,0,1,1.44
2059,8,100,26,241,164,0,0,1,1.44
2059,9,100,26.4,198.1,162.67,0,0,1,1.44
2059,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2059,11,100,28.8,5.2,192,0,0,0,1.44
2059,12,100,27.8,0.3,192,0,0,0,1.44
2060,1,100,27.7,5,193.33,0,0,0,1.44
2060,2,100,30.3,10.9,200,0,0,0,1.44
2060,3,100,31.8,20.9,230.67,0,0,0,1.44
2060,4,100,30.9,86.4,225.33,0,0,0,1.44
2060,5,100,29.3,130.1,220,0,0,1,1.44
2060,6,100,27.6,141.8,192,0,0,1,1.44
2060,7,100,26.6,139.7,176,0,0,1,1.44
2060,8,100,26,241,164,0,0,1,1.44
2060,9,100,26.4,198.1,162.67,0,0,1,1.44
2060,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2060,11,100,28.8,5.2,192,0,0,0,1.44
2060,12,100,27.8,0.3,192,0,0,0,1.44
2061,1,100,27.7,5,193.33,0,0,0,1.44
2061,2,100,30.3,10.9,200,0,0,0,1.44
2061,3,100,31.8,20.9,230.67,0,0,0,1.44
2061,4,100,30.9,86.4,225.33,0,0,0,1.44
